identificacion,capitalSuscrito,numeroTotalEmpleados
00993345520001,150.0000,
00993346632001,800.0000,
00993346640001,800.0000,
00993346705001,1000.0000,
00993346837001,33090.0000,
00993346861001,50.0000,
00993347140001,800.0000,
00993347264001,800.0000,
00993347809001,800.0000,
00993347906001,800.0000,
00993348007001,100.0000,
00993348082001,400.0000,
00993348171001,1500.0000,
00993348406001,400.0000,
00993349658001,400.0000,
00993349941001,2500.0000,
00993350508001,10.0000,
00993350559001,200.0000,
00993350907001,800.0000,
00993351210001,8000.0000,
00993351350001,400.0000,
00993106526001,800.0000,
00993351636001,800.0000,
00993351687001,50.0000,
00993351938001,500.0000,
00993352144001,1.0000,
00993352268001,300.0000,
00993352292001,50.0000,
00992466146001,800.0000,2
00992466294001,800.0000,2
00992466375001,800.0000,2
00992466510001,1000.0000,2
00992466553001,1000.0000,4
00992466855001,1000.0000,7
00992466901001,800.0000,105
00992467150001,1000.0000,2
00992467568001,800.0000,11
00992467673001,800.0000,2
00992467789001,420000.0000,3
00992467843001,10800.0000,23
00992467851001,800.0000,2
00992467894001,800.0000,2
00992467967001,1000.0000,6
00992467975001,1000.0000,2
00992468041001,800.0000,2
00992468068001,20000.0000,37
00992468076001,800.0000,3
00992468092001,50000.0000,38
00992468122001,1000.0000,2
00992468319001,800.0000,2
00992468475001,1500.0000,15
00992468483001,800.0000,3
00992468580001,100000.0000,2
00992468947001,30000.0000,8
00992468971001,250000.0000,28
00992469005001,800.0000,3
00992469447001,800.0000,2
00992469544001,20000.0000,3
00992469862001,800.0000,2
00992469919001,800.0000,6
00992470267001,800.0000,2
00992470291001,800.0000,4
00992470453001,173600.0000,2
00992470526001,800.0000,2
00992470534001,1000.0000,3
00992471158001,753882.0000,26
00992471247001,800.0000,2
00992471298001,40800.0000,42
00992471530001,1000.0000,1
00992471603001,800.0000,6
00992472170001,800.0000,5
00992472324001,800.0000,8
00992472413001,800.0000,5
00992472693001,800.0000,3
00992472731001,2968094.0000,370
00992472804001,800.0000,1
00992472979001,847406.0000,8
00992472987001,800.0000,8
00992473002001,1000.0000,4
00992473045001,20000.0000,2
00992473118001,800.0000,4
00992473444001,40000.0000,9
00992473568001,1000.0000,2
00992473584001,800.0000,6
00992473606001,800.0000,6
00992473681001,40000.0000,6
00992473738001,800.0000,17
00992473762001,800.0000,11
00992473827001,800.0000,4
00992474106001,800.0000,6
00992474157001,800.0000,2
00992474637001,800.0000,3
00992474777001,800.0000,3
00992474955001,25000.0000,97
00992475153001,800.0000,11
00992475161001,1000.0000,3
00992475390001,1000.0000,3
00992475404001,1000.0000,4
00992475625001,12000.0000,1
00992475714001,20000.0000,7
00992475757001,800.0000,2
00992475765001,1000.0000,2
00992475781001,1000.0000,4
00992476117001,10000.0000,12
00992476249001,200000.0000,9
00992476397001,1000.0000,4
00992476966001,800.0000,2
00992477172001,1003200.0000,2
00992477520001,800.0000,3
00992477830001,800.0000,2
00992477865001,2000.0000,3
01791950577001,5000.0000,3
01791950836001,800.0000,4
01791951034001,5001.0000,2
01791951344001,100000.0000,17
01791951670001,86000.0000,7
01791951980001,3000.0000,24
01791952375001,735000.0000,55
01791952499001,1200.0000,2
01791952561001,800.0000,24
01791952804001,400.0000,2
01791952901001,900.0000,1
01791953169001,2800.0000,3
01791953614001,466500.0000,14
01791953649001,800.0000,3
01791954866001,800.0000,4
01791954947001,80000.0000,131
01791955013001,220898.0000,6
01791955137001,400.0000,4
01791955153001,1000.0000,10
01791955242001,50000.0000,8
01791955293001,2400800.0000,61
01791955498001,800.0000,3
01791955692001,60000.0000,38
01791956451001,30000.0000,22
01791956486001,200400.0000,28
01791956583001,400.0000,8
01791956680001,800.0000,11
01791957164001,2000.0000,5
01791957245001,400.0000,2
01791957342001,691000.0000,264
01791957474001,5000.0000,4
01791957636001,800.0000,8
01791957970001,6103609.0000,19
01791958233001,2000.0000,1
01791958985001,21000.0000,8
01791959140001,5000.0000,26
01791959272001,1000.0000,15
01791960289001,15000.0000,8
01791960548001,10850.0000,5
01791960602001,682016.0000,10
01791960815001,40000.0000,2
01791960831001,400000.0000,2
01791824504001,3005731.0000,22
01791825292001,171496.0000,20
01791825470001,800.0000,3
01791826140001,200000.0000,18
01791826582001,800000.0000,1
01791826973001,400.0000,5
01791827155001,800.0000,2
01791827201001,10000.0000,28
01791827678001,800.0000,11
01791828062001,2000.0000,85
01791828291001,187630.0000,59
01791828682001,400.0000,4
01791829514001,2000.0000,2
01791829913001,400.0000,2
01791830067001,400.0000,2
01791830105001,1530000.0000,79
01791830784001,25000.0000,2
01791831373001,300400.0000,139
01791831578001,40000.0000,11
01791833112001,4500.0000,10
01791833171001,3000.0000,4
01791833929001,1600.0000,4
01791834062001,400.0000,23
01791834399001,800.0000,6
01791834690001,352739.0000,12
01791835174001,500000.0000,47
01791835824001,400.0000,2
01791836065001,40800.0000,6
01791836758001,16000.0000,1
01791294343001,400.0000,8
01791296621001,6080.0000,3
01791299140001,16000.0000,3
01791300114001,9460.0000,6
01791302931001,4951081.0000,856
01791303377001,140000.0000,44
01791304586001,10000.0000,10
01791308638001,72000.0000,11
01791309162001,2413000.0000,43
01791309596001,2000.0000,1
01791309847001,161346.0000,28
01791311507001,28000.0000,21
01791990730001,2000.0000,7
01791990846001,400.0000,5
01791990919001,55800.0000,9
01791990978001,3520000.0000,2
01791991176001,43500.0000,7
01791991184001,250000.0000,13
01791991214001,16000.0000,1
01791991389001,400.0000,2
01791991559001,58193.0000,20
01791991923001,400.0000,4
01791992385001,400.0000,2
01791992571001,350010.0000,374
01791992644001,10000.0000,6
01791992822001,50800.0000,281
01791993020001,525800.0000,184
01791993306001,800.0000,2
01791993993001,50000.0000,9
01791994027001,15000.0000,5
01791994086001,400.0000,2
01791994167001,178077.0000,22
01791994426001,15400.0000,35
01791994558001,800.0000,3
01791994825001,1000.0000,11
01791994965001,120800.0000,104
01791995023001,1000.0000,2
01791995163001,800.0000,2
01791995201001,1000.0000,9
01791995295001,400.0000,4
01791995333001,80800.0000,33
01791995589001,400.0000,6
01791995619001,2000.0000,4
01791995678001,3000.0000,2
01791995988001,251775.0000,5
01791996178001,23000.0000,1
01791996321001,25000.0000,11
01791996461001,600.0000,10
01291788730001,400.0000,
01291789554001,600.0000,
01791839242001,15000.0000,1
01791839692001,100000.0000,28
01791840429001,13200.0000,2
01791840712001,50049639.0000,259
01791841018001,2400.0000,4
01791841697001,228606.0000,89
01791842243001,2000.0000,6
01791842286001,800.0000,20
01791842812001,800.0000,4
01791843150001,2400.0000,5
01791843398001,400.0000,14
01791843649001,2000.0000,6
01791843681001,400.0000,7
01791844254001,818700.0000,22
01791844556001,1000.0000,14
01791844645001,1000.0000,15
01791845323001,4178745.0000,61
01791845331001,400.0000,4
01791846591001,5800.0000,2
01791846796001,400.0000,3
01791846893001,20000.0000,6
01791847261001,98000.0000,432
01791847830001,400.0000,6
01791848055001,150450.0000,5
01791849213001,2000.0000,2
01791849922001,800.0000,4
01791851137001,4000.0000,48
01791851420001,800.0000,4
01791851838001,800.0000,3
01791854756001,800.0000,10
01791855329001,1000.0000,2
01791856031001,683955.0000,2
01791856074001,400.0000,7
01791856104001,420.0000,5
01791856910001,2000.0000,19
01791857054001,2000.0000,3
01791857658001,1400.0000,2
01791858220001,500.0000,3
01791858336001,1000.0000,4
01791858395001,400.0000,2
01791858417001,15000.0000,18
01791859154001,400.0000,3
01791859170001,18451.0000,5
01791859197001,2000.0000,6
01791862295001,13289443.0000,77
01791862317001,1000.0000,10
01791862449001,1000.0000,11
01791863569001,400.0000,2
01791863682001,30600.0000,3
01791863720001,393701.0000,21
01791863984001,300000.0000,127
01791864271001,4000.0000,5
01391914636001,800.0000,
01791302311001,100800.0000,15
01791304403001,1000.0000,4
01791304624001,800.0000,2
01791307275001,700000.0000,97
01791311310001,830.0000,1
01791355814001,250000.0000,2
01791356535001,64915.2400,1
01791359003001,10000.0000,22
01791359038001,105000.0000,4
01791360915001,10000.0000,3
01390145620001,6210.0000,2
01791322045001,800.0000,2
01791322169001,10000.0000,385
01791323262001,401.0000,1
01791325060001,500.0000,4
01791325524001,407000.0000,99
01791330897001,2000000.0000,1
01791330900001,500000.0000,1
01791332725001,800.0000,2
01791334477001,3261026.0000,
01791334493001,1365616.0000,28
01791334922001,1200.0000,3
01791343298001,2430.0000,6
01791343433001,30800.0000,1
01791343956001,4000.0000,3
01791349865001,2530.0000,5
01791352246001,60200.0000,3
01790657043001,118640.0000,9
01791395077001,100000.0000,184
01791395115001,1000.0000,7
01791396219001,2000.0000,3
01791397002001,400.0000,4
01791399021001,4804.0000,6
01791399048001,6200.0000,2
01791399412001,400.0000,4
01791399676001,6400.0000,4
01791400429001,4400.0000,6
01791401018001,140800.0000,14
01391917465001,61000.0000,
01391917651001,1000.0000,
01391917767001,1800.0000,
01391919123001,1000.0000,
01391919603001,800.0000,
01391919905001,200.0000,
01391921322001,800.0000,
01391921683001,10000.0000,
01391922981001,100.0000,
01391923678001,800.0000,
01391923783001,800.0000,
01391924259001,20000.0000,
01391925239001,5000.0000,
01391925271001,50.0000,
01391927169001,800.0000,
01391928238001,100.0000,
01391928653001,10000.0000,
01391928920001,100.0000,
01391929536001,,
01391929994001,800.0000,
01391930488001,1000.0000,
01791257618001,480.0000,4
01791996607001,1600.0000,6
01791996658001,24980.0000,10
01791996763001,11650.0000,2
01791996933001,50000.0000,13
01791997255001,2000.0000,4
01791997379001,1400.0000,4
01791997387001,400.0000,20
01791997484001,400.0000,2
01791997646001,800.0000,4
01791997948001,250000.0000,73
01791998189001,400.0000,3
01791998200001,8000.0000,10
01791998472001,3003000.0000,
01791999053001,50000.0000,33
01791999274001,95038.0000,3
01791884183001,800.0000,4
01791884795001,7000.0000,2
01791885155001,800.0000,3
01791885899001,50000.0000,9
01791885929001,123200.0000,7
01791886534001,10000.0000,2
01791886933001,25000.0000,14
01391931484001,400.0000,
01391931646001,800.0000,
01391931706001,800.0000,
01391931733001,1000.0000,
01391931843001,1000.0000,
01391931844001,800.0000,
01391931884001,300.0000,
01391931960001,20000.0000,
01791267419001,600.0000,4
01790987973001,2000.0000,3
01791768132001,151000.0000,4
01791768329001,1500.0000,7
01791768671001,400.0000,9
01791769589001,61500.0000,7
01791770153001,3550000.0000,42
01791770668001,400.0000,1
01791770781001,800.0000,4
01391903030001,1584.0000,
01791887573001,10000.0000,6
01791888561001,20000.0000,21
01791888650001,35000.0000,1
01791888685001,400.0000,16
01791888715001,231800.0000,73
01791354583001,1080.0000,3
01791356349001,24000.0000,5
01791357574001,5000.0000,4
01791359674001,400.0000,3
01791360842001,11900.0000,
01791361075001,5000.0000,8
01791361466001,24732300.0000,90
01791362349001,800.0000,10
01791395190001,34880.0000,13
01791397347001,800.0000,4
01791397576001,405.0000,20
01791400348001,11000.0000,4
01791326202001,650000.0000,186
01791339215001,5000.0000,9
01791343247001,405346.0000,47
01791345428001,2000.0000,2
01791349512001,3000000.0000,71
01791351738001,500000.0000,252
01791353358001,10000.0000,38
01791403843001,1000.0000,2
01791404386001,1000.0000,6
01791404785001,1016700.0000,147
01791404874001,450.0000,12
01791405544001,875.0000,9
01791405609001,800.0000,2
01791405633001,1200.0000,4
01791405846001,25000.0000,6
01791406486001,800.0000,6
01791407423001,800.0000,1
01791408829001,800.0000,2
01791410076001,1100.0000,23
01791410165001,800.0000,1
01791411498001,800.0000,6
01791412125001,400.0000,2
01791412710001,480.0000,4
01791414039001,2000.0000,1
01791414659001,750934.0000,2
01791415221001,4000.0000,2
01791415477001,403.0000,11
01791270029001,1080.0000,5
01791284321001,1100000.0000,61
01792017033001,1000.0000,2
01792017343001,373673.0000,24
01792017394001,10000.0000,5
01792017408001,400.0000,9
01792017556001,6800.0000,14
01792017661001,5000.0000,14
01792017823001,400.0000,5
01792017920001,800.0000,10
01792018005001,1000.0000,3
01792018080001,1000.0000,18
01792018129001,400.0000,15
01792018161001,12000.0000,7
01391924828001,800.0000,
01391929579001,800.0000,
01391931716001,800.0000,
01391932008001,400.0000,
01791904508001,261729.0000,60
01791904753001,400.0000,34
01791905482001,30800.0000,3
01791906365001,400.0000,4
01791906381001,405000.0000,21
01791906497001,405000.0000,14
01791907116001,6000.0000,9
01791907833001,10000.0000,131
01791907949001,420.0000,1
01791908198001,800.0000,5
01791908279001,19163.0000,6
01791908767001,1500.0000,2
01791910028001,2500.0000,24
01791911466001,400.0000,2
01791911830001,1000.0000,2
01791911954001,1000.0000,4
01791912160001,2500.0000,3
01791912373001,1200.0000,3
01791912403001,800.0000,4
01791912780001,1000.0000,24
01791913027001,91016.0000,14
01791913949001,400.0000,2
01791914317001,10000.0000,2
01791914783001,400.0000,8
01791915518001,420.0000,1
01791915690001,2500.0000,6
01791916239001,800.0000,2
01791916247001,400.0000,12
01791916735001,3660247.0000,33
01791916840001,105659.0000,4
01791917561001,800.0000,3
01791917677001,7720.0000,2
01791917979001,5000.0000,4
01791918010001,2000.0000,2
01791404076001,1972.0000,30
01791404157001,12000.0000,224
01791405501001,100000.0000,2
01791405927001,400.0000,2
01791406354001,800.0000,2
01791358120001,800.0000,12
01791361040001,400.0000,19
01791112830001,13315.2000,9
01792035201001,10000.0000,23
01792035392001,2000.0000,4
01792035503001,800.0000,53
01792035678001,1910408.0000,36
01792035759001,800.0000,2
01792035775001,400.0000,2
01792036089001,3024.0000,3
01792036178001,1000.0000,6
01792036208001,4000.0000,9
01792036275001,4000.0000,3
01792036488001,1200.0000,2
01792037131001,10000.0000,5
01792037328001,800.0000,2
01792037662001,400.0000,3
01792037700001,800.0000,2
01792037751001,400.0000,2
01792037921001,800.0000,4
01792038308001,30400.0000,4
01792038359001,800.0000,2
01792038618001,400.0000,2
01792038855001,2000.0000,2
01792038898001,10000.0000,37
01792038952001,800.0000,5
01792039517001,1000.0000,12
01792039886001,5000.0000,3
01792039975001,800.0000,2
01792040019001,10000.0000,2
01792040051001,836805.0000,1
01792040167001,20000.0000,50
01792040264001,800.0000,3
01792040353001,400.0000,5
01792040418001,10100.0000,2
01792040434001,400.0000,18
01792040531001,1867531.0000,1015
01792040698001,800.0000,3
01792040825001,12500.0000,2
01792040833001,401.0000,6
01792040965001,3000.0000,4
01792041147001,400.0000,4
01792041252001,400.0000,20
01792041694001,50800.0000,20
01792041899001,400.0000,4
01792042208001,10000.0000,1060
01792042259001,25000.0000,5
01792042364001,10000.0000,22
01792042488001,11000.0000,2
01792042526001,1000.0000,2
01792042690001,800.0000,4
01792042801001,800.0000,5
01792042992001,800.0000,2
01792043328001,125000.0000,4
01792043662001,844000.0000,35
01792043786001,82000.0000,17
01792044006001,13200.0000,3
01792044189001,110000.0000,8
01792044227001,20000.0000,9
01792044359001,3983770.0000,141
01792045355001,400.0000,4
01792045622001,400.0000,7
01792045711001,1000.0000,4
01792045983001,800.0000,2
01792046572001,800.0000,4
01792046637001,400.0000,2
01792047021001,800.0000,18
01792047285001,400.0000,35
01792047293001,6000.0000,16
01792047498001,400.0000,12
01792047587001,400.0000,6
01792047633001,5000.0000,4
01792048028001,1200.0000,14
01792048230001,51000.0000,70
01792048737001,1000.0000,23
01792049067001,400.0000,3
01792049113001,20000.0000,22
01792049466001,400.0000,9
01792049504001,1800000.0000,1065
01792049598001,2000000.0000,45
01792049717001,2000.0000,2
01792050901001,800.0000,32
01792051517001,10000.0000,2
01791411986001,2278400.0000,266
01791412168001,1200.0000,5
01791412427001,26700.0000,4
01791413245001,10000.0000,7
01791433572001,9384.0000,5
01791434048001,150000.0000,4
01791434579001,500.0000,5
01791434978001,102000.0000,2
01791435419001,2689330.0000,212
01791435737001,819.0000,3
01791436490001,200000.0000,19
01791701496001,31226.0000,3
01791704568001,301600.0000,58
01791705467001,160000.0000,9
01791705645001,1200.0000,3
01791706447001,54000.0000,85
01791710843001,126400.0000,19
01791711459001,229200.0000,4
01791712285001,800.0000,3
01791712617001,400.0000,8
01791712889001,4000.0000,3
01791713044001,800.0000,2
01791713311001,706000.0000,65
01791714350001,4000.0000,43
01591726567001,800.0000,
01591727725001,1000.0000,
01691728486001,900.0000,
01791315499001,210000.0000,26
01791317459001,20000.0000,17
01791319249001,8000.0000,2
01792051568001,400.0000,1
01792051878001,10000.0000,44
01792052025001,41358.0000,3
01792052130001,400.0000,9
01792052270001,851250.0000,365
01792052572001,9179634.0000,291
01792052580001,770246.0000,8
01792052602001,800.0000,1
01792052637001,2200.0000,4
01792052653001,400.0000,3
00190392708001,800.0000,9
00190392910001,12000.0000,2
00190392953001,1000.0000,3
00190393011001,30000.0000,11
00190393054001,400.0000,12
00190393097001,400.0000,2
00190393100001,20400.0000,2
00190393143001,990.0000,1
00190393178001,800.0000,2
00190393216001,400.0000,4
00190393283001,400.0000,2
00190393348001,405.0000,2
00190393550001,1110.0000,1
00190393666001,12500.0000,55
00190393755001,150000.0000,7
00190393801001,400.0000,8
00190393879001,100000.0000,2
00190393992001,400.0000,4
00190394018001,20000.0000,2
00190394034001,400.0000,9
00190394263001,400.0000,4
00190394662001,800.0000,5
00190394700001,864.0000,2
00190394735001,1624.0000,1
00190394751001,400.0000,1
00190394921001,2400.0000,2
00190395480001,400.0000,12
00190395510001,400.0000,2
00190395588001,840.0000,2
00190395693001,832.0000,2
00190395804001,400.0000,2
00190395901001,1740.0000,2
00190395936001,900.0000,4
00190396177001,190974.0000,
00190396231001,400.0000,4
00190396320001,880.0000,2
00190396398001,920.0000,4
00190396401001,400.0000,
00190396428001,400.0000,1
00190396495001,800.0000,2
00190396509001,800.0000,2
00190396541001,400.0000,3
00190396606001,800.0000,4
00190397521001,400.0000,1
00190398021001,2000.0000,4
00190398048001,50400.0000,16
00190398129001,600.0000,4
00190398226001,1000.0000,2
00190398331001,400.0000,3
00190398412001,9162.0000,7
00190398579001,2000.0000,4
00190398595001,39700.0000,2
00190398641001,400.0000,6
00190398668001,400.0000,3
00190398676001,400.0000,1
00190398781001,600.0000,2
00190398846001,1000.0000,4
00190398897001,400.0000,4
00190398951001,400.0000,1
00190399370001,37900.0000,
00190399524001,10000.0000,74
00190399540001,400.0000,2
00190399605001,400.0000,12
00190389774001,32000.0000,3
00190389995001,1000.0000,6
00190390020001,800.0000,2
00190390144001,1000.0000,3
00190390179001,1000.0000,2
00190390217001,1140.0000,3
00190390373001,950.0000,2
00190390497001,15000.0000,3
00190390519001,800.0000,2
00190390632001,2000.0000,8
00190390640001,800.0000,3
00190391264001,800.0000,1
00190391310001,400.0000,5
00190391477001,1620.0000,5
00190391760001,400.0000,16
00190391930001,400.0000,5
00190392015001,400.0000,3
00190392287001,800.0000,3
00190392309001,400.0000,2
00190392511001,800.0000,5
00791773776001,800.0000,14
00791774020001,400.0000,2
00791774128001,50800.0000,38
00791774314001,1000.0000,1
00791774624001,800.0000,1
00791774942001,1000.0000,
00791774950001,10000.0000,3
00791774969001,48761.0000,4
00791774985001,800.0000,3
00791775043001,2000.0000,4
00791775108001,1200.0000,4
00791775116001,800.0000,13
00791775353001,2000.0000,2
00791775418001,1000.0000,4
00791775566001,800.0000,3
00791775825001,32564.0000,6
00791775957001,400.0000,32
00791776104001,400.0000,4
00791776139001,1000.0000,2
00791776171001,5000.0000,2
00791776279001,400.0000,8
00791776317001,800.0000,4
00791776376001,800.0000,4
00791776384001,500.0000,7
00791776457001,800.0000,20
00791776961001,800.0000,3
00791777046001,400.0000,2
00791777135001,1000.0000,4
00791777194001,1000000.0000,2
00791777313001,1000.0000,1
01792062101001,1000.0000,5
01792062128001,400.0000,24
01792062357001,15000.0000,83
01792062373001,7392.0000,4
01792062616001,5000.0000,2
01792062713001,6220.0000,8
01792062799001,400.0000,6
01792062888001,50000.0000,4
01792063485001,10000.0000,2
01792063590001,400.0000,2
01792063639001,800.0000,5
01792063833001,900.0000,2
01792064074001,30000.0000,8
01792064082001,10818490.0000,159
01792064090001,800.0000,2
01792064740001,800.0000,2
01792065054001,167830.0000,4
01792065224001,3000.0000,2
01792065372001,816.0000,6
01792065429001,10000.0000,8
01792065526001,400.0000,10
01792065577001,1200.0000,2
01792065771001,10400.0000,18
01792065798001,630000.0000,22
01792065828001,400.0000,8
01792066107001,800.0000,20
01792066263001,400.0000,2
01792066417001,10000.0000,6
01792066433001,49500.0000,7
01792066468001,402.0000,2
01792067200001,3721430.0000,1
01792067278001,2036.0000,2
01792067715001,400.0000,3
01792067758001,400.0000,6
01792067782001,12648510.0000,407
01792068142001,800.0000,3
01792068339001,400.0000,19
01792068355001,900.0000,5
01792068428001,1000.0000,2
01792068657001,25800.0000,19
01792068665001,1000.0000,
01792068681001,312000.0000,1
01792069009001,101600.0000,3
01792069343001,1300.0000,2
01792069440001,43000.0000,9
01792069572001,400.0000,2
01792069637001,20000.0000,4
01792069785001,2264342.0000,18
01792069912001,400.0000,3
01792070104001,2000.0000,8
01792070120001,12000.0000,5
01792070295001,10000.0000,1
01792070333001,400.0000,2
01792070414001,400.0000,1
01792070678001,59156.0000,8
01792070740001,10000.0000,2
01792070872001,800.0000,2
01792070899001,800.0000,5
01792070953001,10400.0000,15
01792071070001,800.0000,3
01792071100001,400.0000,14
01792071240001,4500.0000,3
01792071704001,800.0000,6
01792071801001,10000.0000,2
01792071836001,3500.0000,2
01792072018001,1000000.0000,1567
01792072220001,400.0000,7
01792072301001,5000.0000,1
01792072395001,400.0000,4
01792072719001,800.0000,2
01792072735001,10981833.0000,14
01792072786001,1000000.0000,7
01792072921001,800.0000,3
01792072964001,800.0000,2
01792072972001,100800.0000,3
01792073065001,400.0000,2
01791227433001,2000.0000,45
01791432959001,1000.0000,6
01791710673001,400.0000,2
01791307151001,975000.0000,150
01691727862001,800.0000,
01691727900001,800.0000,
01691728766001,100.0000,
00791777380001,6000.0000,13
00791777399001,1000.0000,2
00691760502001,10000.0000,
00691760707001,800.0000,
00691762432001,10000.0000,
00691762823001,400.0000,
00691772829001,840.0000,
00691773582001,800.0000,
00691775348001,10000.0000,
00691775704001,400.0000,
00691776832001,400.0000,
00691777790001,10000.0000,
00691777987001,500.0000,
00691778142001,800.0000,
00691778479001,400.0000,
00691778606001,1000.0000,
00691778819001,75000.0000,
00691779734001,800.0000,
00691780317001,400.0000,
00691780368001,1500.0000,
00691780481001,800.0000,
00691782255001,800.0000,
00691782441001,18000.0000,
00691782670001,6500.0000,
00691782735001,2000.0000,
00691782751001,840.0000,
00691783421001,400.0000,
00691783596001,1000.0000,
00691784275001,400.0000,
00691784320001,400.0000,
00691784325001,800.0000,
00691784337001,5000.0000,
00691739449001,400.0000,3
00691741931001,400.0000,5
00391034088001,900.0000,
00791751853001,1100.0000,52
00791752299001,350000.0000,107
00791752388001,1000.0000,11
00791753252001,10000.0000,8
00791753422001,800.0000,5
00791753449001,10000.0000,24
00791753546001,800.0000,5
00791753902001,80000.0000,3
00791753929001,900.0000,3
00791753953001,800.0000,3
00791754305001,2400.0000,2
00791755093001,800.0000,11
00791745004001,106500.0000,103
00791745152001,1000.0000,43
00791745713001,202000.0000,35
00791746876001,1000.0000,15
00791747430001,800.0000,6
00791747643001,2490.0000,2
01792088631001,6000.0000,4
01792088879001,8362200.0000,11
01792088968001,800.0000,4
01792089514001,13302.0000,2
01792090296001,3921788.0000,2
01792090342001,2000.0000,3
01792090628001,1400.0000,3
01792090636001,1000.0000,2
01792090903001,400.0000,10
01791839633001,400.0000,1
01791840925001,400.0000,4
01791841271001,800.0000,2
01791842049001,800.0000,3
01791844823001,760.0000,16
01791845870001,120000.0000,60
01791845897001,10000.0000,9
01791846087001,27800.0000,266
01791847520001,800.0000,4
01791847601001,7000.0000,10
01791848713001,10000.0000,148
01791848993001,1240.0000,2
01791850130001,20000.0000,18
01791850335001,3000.0000,2
01791850408001,1125.0000,2
01791851250001,450.0000,2
01791852095001,400.0000,2
01791852567001,25800.0000,21
01791854896001,3000.0000,7
01791855906001,8900.0000,64
01791856058001,400.0000,4
01791856414001,400.0000,4
01791858557001,657600.0000,3
01791858905001,2000.0000,9
01791859200001,1604830.0000,11
01791859596001,2736003.0000,112
01791859669001,40000.0000,18
01791862961001,600.0000,8
01791863208001,11000.0000,2
01791863259001,775700.0000,510
01791863879001,2692.0000,2
01791972120001,4000.0000,8
01791972511001,320800.0000,12
01791972937001,400.0000,14
01791973232001,100000.0000,8
01791973615001,1200.0000,2
01791973836001,5400.0000,6
01791975790001,460860.0000,110
01791975944001,400.0000,5
01791976525001,800.0000,5
01791977556001,1200.0000,4
01791977610001,400.0000,5
01791977653001,20000.0000,4
01791978145001,400.0000,5
01791978196001,1000000.0000,11
01791978285001,1000.0000,3
01791978498001,400.0000,4
01791978889001,10000.0000,6
01791979230001,4000.0000,25
01791980123001,400.0000,11
01791980166001,5400.0000,2
01791980441001,21000.0000,2
01791980905001,400.0000,4
01791981111001,10000.0000,6
01791981219001,242916.0000,2
01791982274001,800.0000,
01791982290001,800.0000,5
01791714873001,14018.0000,88
01791728459001,2400.0000,42
01791729382001,2000.0000,2
01791729714001,10000.0000,43
01791730372001,50000.0000,24
01791731409001,10000.0000,4
01791731603001,400.0000,6
01791732057001,1000.0000,25
01791737849001,131005.0000,24
01791737873001,2000.0000,3
01791738047001,2800.0000,2
01791738195001,10000.0000,5
01791738764001,400.0000,2
01791740661001,400.0000,2
01791740734001,1200.0000,3
01791740742001,225826.0000,5
01791741862001,41285.0000,11
01791752864001,800.0000,1
01791401379001,812.0000,31
01791405684001,800.0000,29
01791311833001,11800.0000,23
01792090997001,1000.0000,5
01792091004001,25000.0000,7
01792091071001,1000.0000,8
01792091136001,800.0000,2
01792091195001,2000.0000,2
01792091322001,800.0000,12
01792091438001,10000.0000,
01792091454001,85000.0000,12
01792091608001,255000.0000,2
01792091837001,9500.0000,4
01792092051001,1001117.0000,42
01792092108001,10000.0000,17
01792092132001,400.0000,6
01792092620001,400.0000,11
01792092655001,10000.0000,2
01792092795001,400.0000,40
01792092809001,2382000.0000,24
01792093236001,15000.0000,19
01792093406001,400.0000,7
01792093554001,5000.0000,5
01792093872001,230000.0000,6
01792093961001,400.0000,2
01792093996001,172800.0000,92
01792094143001,80000.0000,9
01792094283001,15000.0000,3
01792094313001,1000.0000,4
01792094429001,50000.0000,29
01791982983001,5000.0000,4
01791983610001,500.0000,5
01791984463001,400.0000,4
01791984900001,1500.0000,17
01791985125001,400.0000,2
01791985281001,100000.0000,14
01791985524001,8000.0000,2
01791986741001,10400.0000,9
01791986784001,15000.0000,2
01791986997001,20000.0000,38
01791987349001,600.0000,4
01791987527001,400.0000,2
01791987683001,1000.0000,4
01791987888001,800.0000,1
01791988302001,800.0000,10
01791988477001,10000.0000,4
01791989163001,1000.0000,1
01791989414001,400.0000,2
01791989937001,151517.0000,36
01791989945001,900.0000,2
01791990307001,50000.0000,30
01791990374001,10000.0000,24
01791991001001,800.0000,2
01791991087001,20400.0000,9
01791991281001,800.0000,2
01791991486001,400.0000,4
01791991508001,2000.0000,4
01791991621001,800.0000,3
01791991664001,13750.0000,2
01791991702001,10400.0000,21
01791992334001,100000.0000,15
01791992342001,525000.0000,19
01791992369001,28761938.0000,2
01791992539001,800.0000,3
01791992563001,400.0000,3
01791993047001,400.0000,5
01791993268001,2000.0000,4
01791993411001,999899.0000,6
01791993519001,2400.0000,4
01791993691001,10000.0000,3
01791993829001,10000.0000,159
01791754778001,1177.0000,7
01791760689001,20600.0000,10
01791761618001,10000.0000,9
01791765842001,3346000.0000,76
01791766784001,400.0000,4
01791767039001,1000.0000,7
01791768612001,546000.0000,20
01791768647001,801.0000,3
01791770382001,800.0000,5
01791771109001,55600.0000,6
01791771133001,20200.0000,4
01792123283001,300000.0000,5
01792123437001,800.0000,4
01792123518001,943000.0000,41
01792123720001,1000.0000,5
01792124271001,800.0000,11
01792124301001,800.0000,4
01792124328001,2000.0000,2
01792124352001,33200.0000,12
01792124557001,50000.0000,49
